obsid,label,pred,error,teff,logg,feh,snru,snrg,snrr,rv,z
243911220.0,2.7,1.93,-0.7700000000000002,5444.93,3.883,-0.094,3.8,23.39,27.94,7.69,2.57e-05
155716088.0,1.9,2.67,0.77,5600.65,4.5969999999999995,-0.044000000000000004,3.68,33.99,59.23,-0.61,-2.03e-06
215116218.0,2.7,1.93,-0.7700000000000002,5454.05,4.626,-0.414,1.82,19.17,23.97,-2.93,-9.77e-06
172907035.0,3.1,2.33,-0.77,5465.32,4.221,-0.11699999999999999,0.17,6.14,25.07,3.47,1.1599999999999999e-05
141409044.0,1.2,1.96,0.76,5938.46,4.2410000000000005,-0.55,1.28,13.61,32.9,0.29,9.67e-07
83205249.0,2.2,1.44,-0.7600000000000002,5807.55,3.7889999999999997,-0.5429999999999999,1.62,19.86,44.28,1.75,5.84e-06
309405232.0,2.0,1.25,-0.75,6056.76,3.818,-0.003,50.62,269.66,420.77,7.83,2.61e-05
29406173.0,2.7,1.95,-0.7500000000000002,5289.95,4.501,-0.41700000000000004,5.58,29.7,45.06,-4.19,-1.4000000000000001e-05
441813190.0,2.7,1.95,-0.7500000000000002,5315.25,3.696,-0.18899999999999997,2.29,16.28,28.47,8.62,2.8800000000000002e-05
368806203.0,2.7,1.95,-0.7500000000000002,5577.06,4.728,-0.161,1.7,15.98,30.27,-4.26,-1.42e-05
68709086.0,1.9,2.65,0.75,5537.22,4.088,-0.248,1.58,17.65,52.23,1.63,5.44e-06
95616079.0,3.3,2.55,-0.75,4181.13,1.679,-0.034,0.04,27.03,69.63,8.38,2.8000000000000003e-05
509807120.0,3.3,2.55,-0.75,4548.78,2.17,-0.363,1.39,16.65,79.56,8.66,2.8899999999999998e-05
204204221.0,3.4,2.66,-0.7399999999999998,4103.05,1.499,-0.267,0.0,53.84,158.54,-11.88,-3.96e-05
235906179.0,2.7,1.96,-0.7400000000000002,5649.42,4.196000000000001,-0.45799999999999996,31.52,102.63,135.96,-6.41,-2.14e-05
372911034.0,2.7,1.96,-0.7400000000000002,4873.16,2.271,-0.617,4.24,34.75,66.17,-2.53,-8.44e-06
249415005.0,2.7,1.96,-0.7400000000000002,5480.52,4.531000000000001,-0.43700000000000006,0.65,9.93,21.59,-13.15,-4.39e-05
220401169.0,1.2,1.94,0.74,5834.83,4.203,-0.758,3.76,10.32,24.74,-14.68,-4.9e-05
214604222.0,1.2,1.94,0.74,6026.4,4.244,-0.37200000000000005,8.03,41.07,54.06,4.72,1.57e-05
269912159.0,2.2,1.46,-0.7400000000000002,5674.44,3.9589999999999996,-0.8340000000000001,0.95,6.59,12.09,12.35,4.1200000000000005e-05
87311064.0,1.2,1.93,0.73,5893.41,3.955,-0.49200000000000005,4.92,17.54,20.92,-2.42,-8.07e-06
141413192.0,2.7,1.97,-0.7300000000000002,5361.01,4.385,-0.684,0.43,5.8,10.1,4.05,1.3500000000000001e-05
371312083.0,2.7,1.97,-0.7300000000000002,5304.45,3.772,-0.512,5.1,51.46,79.4,14.38,4.8e-05
131910135.0,1.9,2.63,0.73,5340.17,4.024,0.209,0.99,12.42,12.46,-8.52,-2.84e-05
427305145.0,2.7,1.97,-0.7300000000000002,4870.08,2.115,-0.846,9.9,51.23,58.85,3.08,1.0300000000000001e-05
284306148.0,1.9,2.62,0.7200000000000002,5198.25,2.716,-0.425,0.47,7.3,23.07,1.21,4.04e-06
